## Parte 1

#delta	ResponseTime_sink	sigma(ResponseTime_sink)	Utilization_LowLoadSrv	sigma(Utilization_LowLoadSrv)	Utilization_HighLoadSrv	sigma(Utilization_HighLoadSrv)
0.0	0.250821344844528	0.0016346851653588946	0.60046554629686	0.004875149301348858	0.599963183548438	0.0029900875227670816
1.0	0.276659826423184	0.006955990307179615	0.49936850751324197	0.00269461345059101	0.700296380239786	0.005517194287309255
2.0	0.39467646623839997	0.009026333733373172	0.399797876467058	0.0025282357787534885	0.8021576187135301	0.0025179626129563978
3.0	0.793385074466294	0.0345739254364186	0.2995929911705161	0.001116007761013667	0.90157261448865	0.00385747023431472


## Parte 2

#delta	ResponseTime_sink	sigma(ResponseTime_sink)	Utilization_LowLoadSrv	sigma(Utilization_LowLoadSrv)	Utilization_HighLoadSrv	sigma(Utilization_HighLoadSrv)
0.0	0.250821344844528	0.0016346851653588946	0.60046554629686	0.004875149301348858	0.599963183548438	0.0029900875227670816
1.0	0.18987836983390802	0.002307513504502555	0.544501613670828	0.002933650661585964	0.09540959726445479	0.0018435794629696634
2.0	0.164877113083162	0.0023359717591725257	0.5006853936367399	0.0014822434121501897	0.05681470322077461	0.0005054150454218285
3.0	0.14387418034580202	0.0012308377993824338	0.46167146174005397	0.002104272093252134	0.0455971590917702	0.0018293556054856718
